-___3---11---βίος — «жизнь» + λόγος — «учение, наука») — наука о живых существах и их взаимодействии со средой.
-___3---15---βίος — «жизнь» + λόγος — «учение, наука») — наука о живых существах и их взаимодействии со средой.
+___2---3---Как самостоятельная наука биология выделилась из естественных наук в XIX веке, когда учёные обнаружили, что все живые организмы обладают некоторыми общими свойствами и признаками, в совокупности не характерными для неживой природы.
-___3---7---Как самостоятельная наука биология выделилась из естественных наук в XIX веке, когда учёные обнаружили, что все живые организмы обладают некоторыми общими свойствами и признаками, в совокупности не характерными для неживой природы.
-___1---9---Биологическая картина мира В настоящее время биология — стандартный предмет в средних и высших учебных заведениях всего мира.
+___6---9---Биологическая картина мира В настоящее время биология — стандартный предмет в средних и высших учебных заведениях всего мира.
-___10---19---Называют пять принципов, объединяющих все биологические дисциплины в единую науку о живой материи[уточнить]:  Клеточная теория — учение обо всём, что касается клеток.
-___22---24---Чарльз Дарвин через пятьдесят лет установил, что её движущей силой является естественный отбор, так же как искусственный отбор сознательно применяется человеком для создания новых пород животных и сортов растений.
-___2---10---Биогеоценотический — уровень взаимодействия видов между собой и с различными факторами окружающей среды.
-___10---12---Биогеоценотический — уровень взаимодействия видов между собой и с различными факторами окружающей среды.
-___6---10---Традиционно они группируются по типам исследуемых организмов:  ботаника изучает растения, водоросли и грибоподобные организмы, зоология — животных и протистов, микробиология — микроорганизмы и вирусы, микология — грибы (ранее являлась разделом ботаники).Области внутри биологии далее делятся либо по масштабам исследования, либо по применяемым методам:  биохимия изучает химические основы жизни, биофизика изучает физические основы жизни, молекулярная биология — сложные взаимодействия между биологическими молекулами, клеточная биология и цитология — основные строительные блоки многоклеточных организмов, клетки, гистология и анатомия — строение тканей и организма из отдельных органов и тканей, физиология — физические и химические функции органов и тканей, этология — поведение живых существ, экология — взаимозависимость различных организмов и их среды, генетика — закономерности наследственности и изменчивости, биология развития — развитие организма в онтогенезе, палеобиология и эволюционная биология — зарождение и историческое развитие живой природы.На границах со смежными науками возникают: биомедицина, биофизика (изучение живых объектов физическими методами), биометрия и т. д. В связи с практическими потребностями человека возникают такие направления, как космическая биология, социобиология, физиология труда, бионика.
-___64---70---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___64---75---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___64---92---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___64---98---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___64---111---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___64---114---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___64---121---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___64---147---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___64---155---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
+___75---87---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
+___87---92---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
+___87---111---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___87---114---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___87---121---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___87---147---Биологические дисциплины Акарология — Анатомия — Альгология — Антропология — Арахнология — Бактериология — Биогеография — Биогеоценология — Биотехнология — Биоинформатика — Биология океана — Биология развития — Биометрия — Бионика — Биосемиотика — Биоспелеология — Биофизика — Биохимия — Ботаника — Биомеханика — Биоценология — Биоэнергетика — Бриология — Вирусология — Генетика — Геоботаника — Герпетология — Гидробиология — Гистология — Дендрология — Зоология — Зоопсихология — Иммунология — Ихтиология — Колеоптерология — Космическая биология — Ксенобиология — Лепидоптерология — Лихенология — Малакология — Микология — Микробиология — Мирмекология — Молекулярная биология — Морфология — Нейробиология — Орнитология — Палеонтология — Палинология — Паразитология — Радиобиология — Систематика — Системная биология — Синтетическая биология — Спонгиология — Таксономия — Теоретическая биология — Териология — Токсикология — Фенология — Физиология — Физиология ВНД — Физиология животных и человека — Физиология растений — Фитопатология — Цитология — Эволюционная биология — Экология — Эмбриология — Эндокринология — Энтомология — Этология.
-___0---8---История биологии Хотя концепция биологии как особой естественной науки возникла в XIX веке, биологические дисциплины зародились ранее в медицине и естественной истории.
-___0---15---История биологии Хотя концепция биологии как особой естественной науки возникла в XIX веке, биологические дисциплины зародились ранее в медицине и естественной истории.
-___1---8---История биологии Хотя концепция биологии как особой естественной науки возникла в XIX веке, биологические дисциплины зародились ранее в медицине и естественной истории.
+___1---15---История биологии Хотя концепция биологии как особой естественной науки возникла в XIX веке, биологические дисциплины зародились ранее в медицине и естественной истории.
+___4---8---История биологии Хотя концепция биологии как особой естественной науки возникла в XIX веке, биологические дисциплины зародились ранее в медицине и естественной истории.
+___4---15---История биологии Хотя концепция биологии как особой естественной науки возникла в XIX веке, биологические дисциплины зародились ранее в медицине и естественной истории.
+___8---19---История биологии Хотя концепция биологии как особой естественной науки возникла в XIX веке, биологические дисциплины зародились ранее в медицине и естественной истории.
-___8---22---История биологии Хотя концепция биологии как особой естественной науки возникла в XIX веке, биологические дисциплины зародились ранее в медицине и естественной истории.
+___15---19---История биологии Хотя концепция биологии как особой естественной науки возникла в XIX веке, биологические дисциплины зародились ранее в медицине и естественной истории.
-___15---22---История биологии Хотя концепция биологии как особой естественной науки возникла в XIX веке, биологические дисциплины зародились ранее в медицине и естественной истории.
-___22---26---За ним последовало постулирование центральной догмы, расшифровка генетического кода, а к концу XX века — и полная расшифровка генетического кода человека и ещё нескольких организмов, наиболее важных для медицины и сельского хозяйства.
-___3---8---Хотя увеличение количества дисциплин и чрезвычайная сложность предмета биологии породили и продолжают порождать среди биологов всё более узкую специализацию, биология продолжает оставаться единой наукой, и данные каждой из биологических дисциплин, в особенности геномики, применимы во всех остальных.
-___3---20---Хотя увеличение количества дисциплин и чрезвычайная сложность предмета биологии породили и продолжают порождать среди биологов всё более узкую специализацию, биология продолжает оставаться единой наукой, и данные каждой из биологических дисциплин, в особенности геномики, применимы во всех остальных.
+___7---8---Хотя увеличение количества дисциплин и чрезвычайная сложность предмета биологии породили и продолжают порождать среди биологов всё более узкую специализацию, биология продолжает оставаться единой наукой, и данные каждой из биологических дисциплин, в особенности геномики, применимы во всех остальных.
+___7---20---Хотя увеличение количества дисциплин и чрезвычайная сложность предмета биологии породили и продолжают порождать среди биологов всё более узкую специализацию, биология продолжает оставаться единой наукой, и данные каждой из биологических дисциплин, в особенности геномики, применимы во всех остальных.
+___8---24---Хотя увеличение количества дисциплин и чрезвычайная сложность предмета биологии породили и продолжают порождать среди биологов всё более узкую специализацию, биология продолжает оставаться единой наукой, и данные каждой из биологических дисциплин, в особенности геномики, применимы во всех остальных.
+___8---31---Хотя увеличение количества дисциплин и чрезвычайная сложность предмета биологии породили и продолжают порождать среди биологов всё более узкую специализацию, биология продолжает оставаться единой наукой, и данные каждой из биологических дисциплин, в особенности геномики, применимы во всех остальных.
+___20---24---Хотя увеличение количества дисциплин и чрезвычайная сложность предмета биологии породили и продолжают порождать среди биологов всё более узкую специализацию, биология продолжает оставаться единой наукой, и данные каждой из биологических дисциплин, в особенности геномики, применимы во всех остальных.
-___20---31---Хотя увеличение количества дисциплин и чрезвычайная сложность предмета биологии породили и продолжают порождать среди биологов всё более узкую специализацию, биология продолжает оставаться единой наукой, и данные каждой из биологических дисциплин, в особенности геномики, применимы во всех остальных.
-___12---16---Агробиоразнообразие это не только результат человеческой деятельности, оно обеспечит не только продукты питания и других товаров на основе природных ресурсов, но и поддерживает участки суши и вод.
-___12---28---Агробиоразнообразие это не только результат человеческой деятельности, оно обеспечит не только продукты питания и других товаров на основе природных ресурсов, но и поддерживает участки суши и вод.
-___20---28---Агробиоразнообразие это не только результат человеческой деятельности, оно обеспечит не только продукты питания и других товаров на основе природных ресурсов, но и поддерживает участки суши и вод.
-___17---18---Ссылки Dommedika TGF beta signaling pathway Механизм действия активинов и ингибинов Антисперма́льные антитела́ — антитела, вырабатываемые организмом человека к антигенам сперматозоидов.
-___19---22---АСА могут обнаруживаться у одного или обоих половых партнёров в различных средах (эякуляте, цервикальной слизи, фолликулярной жидкости, сыворотке крови).
-___7---13---Самая частая причина отрицательного посткоитального теста является наличие АСА в сперме (мужской фактор бесплодия), а не в шейке матки.
-___1---12---Причины образования антиспермальных антител Причинами образования антиспермальных антител у мужчин являются следующие факторы: травмы и операции, варикоцеле, инфекции, простатит, онкология, незащищенный анальный секс.
-___5---12---Причины образования антиспермальных антител Причинами образования антиспермальных антител у мужчин являются следующие факторы: травмы и операции, варикоцеле, инфекции, простатит, онкология, незащищенный анальный секс.
-___12---14---Причины образования антиспермальных антител Причинами образования антиспермальных антител у мужчин являются следующие факторы: травмы и операции, варикоцеле, инфекции, простатит, онкология, незащищенный анальный секс.
-___12---20---Причины образования антиспермальных антител Причинами образования антиспермальных антител у мужчин являются следующие факторы: травмы и операции, варикоцеле, инфекции, простатит, онкология, незащищенный анальный секс.
